pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1604899122.33879,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899123.05103,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899123.33984,0,1.00105,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899124.05047,0,0.99944,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899124.34033,0,1.00049,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899125.05091,0,1.00000,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899125.05092,0,1.00045,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899125.34082,0,1.00049,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899125.90690,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899126.05236,0,1.00144,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899126.05399,0,1.00308,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899126.34125,0,1.00043,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899126.90728,0,1.00038,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899127.05220,0,0.99984,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899127.05459,0,1.00060,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899127.34152,0,1.00027,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899127.90886,0,1.00158,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899128.05309,0,1.00089,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899128.05504,0,1.00045,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899128.34322,0,1.00170,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899128.90965,0,1.00079,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899129.05503,0,1.00194,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899129.05741,0,1.00237,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899129.34258,0,0.99936,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899129.91048,0,1.00083,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899130.05440,0,0.99937,32,255,2,147,1121,2000,PIOC,121,1604899122,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899130.05646,0,0.99905,99,255,4,142,1231,2000,BFP,231,1604899124,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899130.34357,0,1.00099,23,255,1,147,1111,2000,PIOC,111,1604899121,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604899130.91068,0,1.00020,11,255,3,152,1131,2000,PIOC,131,1604899124,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
