pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1604979031.07099,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1604979030,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979032.07189,0,1.00090,23,255,1,147,1111,2000,PIOC,111,1604979030,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979032.68470,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1604979031,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979033.07296,0,1.00107,23,255,1,147,1111,2000,PIOC,111,1604979030,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979033.52047,0,1.00000,99,255,4,142,1231,2000,BFP,231,1604979032,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979033.68503,0,1.00033,32,255,2,147,1121,2000,PIOC,121,1604979031,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979034.07347,0,1.00051,23,255,1,147,1111,2000,PIOC,111,1604979030,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979034.52154,0,1.00107,99,255,4,142,1231,2000,BFP,231,1604979032,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979034.68600,0,1.00097,32,255,2,147,1121,2000,PIOC,121,1604979031,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604979035.07451,0,1.00104,23,255,1,147,1111,2000,PIOC,111,1604979030,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
