pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1604980212.64694,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980213.64710,0,1.00016,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980214.35570,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980214.64964,0,1.00254,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980215.35676,0,1.00106,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980215.65067,0,1.00103,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980215.75975,0,1.00000,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980216.35730,0,1.00054,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980216.65111,0,1.00044,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980216.76011,0,1.00036,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980217.35754,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980217.65158,0,1.00047,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980217.76165,0,1.00154,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980217.77507,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1604980216,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980218.35797,0,1.00043,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980218.65181,0,1.00023,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980218.76106,0,0.99941,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980218.77463,0,0.99956,11,255,3,152,1131,2000,PIOC,131,1604980216,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980219.35893,0,1.00096,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980219.65222,0,1.00041,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980219.76156,0,1.00050,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980219.77521,0,1.00058,11,255,3,152,1131,2000,PIOC,131,1604980216,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980220.35949,0,1.00056,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980220.65268,0,1.00046,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980220.76209,0,1.00053,99,255,4,142,1231,2000,BFP,231,1604980214,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980220.77570,0,1.00049,11,255,3,152,1131,2000,PIOC,131,1604980216,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980221.36154,0,1.00205,32,255,2,147,1121,2000,PIOC,121,1604980213,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1604980221.65299,0,1.00031,23,255,1,147,1111,2000,PIOC,111,1604980211,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
