pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605061124.64209,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061125.02119,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061125.64317,0,1.00108,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061126.02182,0,1.00063,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061126.26259,0,1.00000,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061126.64409,0,1.00092,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061127.02158,0,0.99976,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061127.26369,0,1.00110,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061127.41537,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061127.64439,0,1.00030,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061128.02256,0,1.00098,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061128.26410,0,1.00041,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061128.41606,0,1.00069,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061128.64920,0,1.00481,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061129.02272,0,1.00016,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061129.26476,0,1.00066,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061129.41699,0,1.00093,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061129.65082,0,1.00162,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061130.02291,0,1.00019,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061130.26499,0,1.00023,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061130.41831,0,1.00132,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061130.65100,0,1.00018,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061131.02354,0,1.00063,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061131.26546,0,1.00047,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061131.42032,0,1.00201,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061131.65133,0,1.00033,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061132.02483,0,1.00129,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061132.26661,0,1.00115,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061132.42090,0,1.00058,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061132.65215,0,1.00082,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061133.02917,0,1.00434,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061133.26709,0,1.00048,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061133.42118,0,1.00028,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061133.65254,0,1.00039,23,255,1,147,1111,2000,PIOC,111,1605061123,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061134.02989,0,1.00072,32,255,2,147,1121,2000,PIOC,121,1605061124,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061134.27042,0,1.00333,99,255,4,142,1231,2000,BFP,231,1605061125,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605061134.42135,0,1.00017,11,255,3,152,1131,2000,PIOC,131,1605061126,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
