pkt arrive time in UTC,Lable,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605056837.41694,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,0,0,0,0
1605056838.38651,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,0,0,0,0
1605056838.41825,0,1.00131,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,0,0,0,0
1605056839.38745,0,1.00094,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056839.41872,0,1.00047,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056839.79506,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056840.38788,0,1.00043,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056840.41926,0,1.00054,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056840.79618,0,1.00112,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056841.16077,0,1.00000,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056841.38812,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056841.41943,0,1.00017,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056841.79694,0,1.00076,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056842.16125,0,1.00048,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056842.38837,0,1.00025,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056842.42079,0,1.00136,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056842.79686,0,0.99992,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056843.16195,0,1.00070,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056843.38869,0,1.00032,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056843.42141,0,1.00062,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056843.79773,0,1.00087,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056844.16208,0,1.00013,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056844.38985,0,1.00116,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056844.42202,0,1.00061,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056844.79830,0,1.00057,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056845.16231,0,1.00023,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056845.39031,0,1.00046,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056845.42243,0,1.00041,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056845.79909,0,1.00079,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056846.16390,0,1.00159,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056846.39085,0,1.00054,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056846.42311,0,1.00068,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056846.80074,0,1.00165,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056847.16386,0,0.99996,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056847.39115,0,1.00030,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056847.42355,0,1.00044,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,10,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056847.80075,0,1.00001,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,8,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056848.16549,0,1.00163,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056848.39192,0,1.00077,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,10,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056848.42413,0,1.00058,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,11,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056848.80180,0,1.00105,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,9,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056849.16580,0,1.00031,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056849.39216,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,11,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056849.42441,0,1.00028,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,12,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056849.80248,0,1.00068,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,10,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056850.16618,0,1.00038,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056850.39262,0,1.00046,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,12,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056850.42486,0,1.00045,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,13,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056850.80350,0,1.00102,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,11,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
