pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605057578.43795,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057579.43866,0,1.00071,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057579.90714,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057580.19833,0,1.00000,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057580.43940,0,1.00074,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057580.90738,0,1.00024,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057580.97992,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1605057580,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057581.19921,0,1.00088,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057581.43975,0,1.00035,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057581.90793,0,1.00055,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057581.98031,0,1.00039,11,255,3,152,1131,2000,PIOC,131,1605057580,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057582.19979,0,1.00058,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057582.44057,0,1.00082,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057582.90869,0,1.00076,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057582.98087,0,1.00056,11,255,3,152,1131,2000,PIOC,131,1605057580,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057583.20020,0,1.00041,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057583.44124,0,1.00067,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057583.90932,0,1.00063,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057583.98158,0,1.00071,11,255,3,152,1131,2000,PIOC,131,1605057580,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057584.20119,0,1.00099,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057584.44218,0,1.00094,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057584.90974,0,1.00042,32,255,2,147,1121,2000,PIOC,121,1605057578,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057584.98323,0,1.00165,11,255,3,152,1131,2000,PIOC,131,1605057580,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057585.20208,0,1.00089,99,255,4,142,1231,2000,BFP,231,1605057579,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605057585.44253,0,1.00035,23,255,1,147,1111,2000,PIOC,111,1605057577,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
