pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605058792.40378,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058793.05715,0,1.00000,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058793.34314,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058793.40437,0,1.00059,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058794.05776,0,1.00061,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058794.34358,0,1.00044,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058794.40536,0,1.00099,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058795.05796,0,1.00020,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058795.34468,0,1.00110,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058795.40577,0,1.00041,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058796.05840,0,1.00044,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058796.34508,0,1.00040,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058796.40586,0,1.00009,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058796.71663,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1605058795,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058797.05856,0,1.00016,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058797.34537,0,1.00029,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058797.40603,0,1.00017,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058797.71758,0,1.00095,11,255,3,152,1131,2000,PIOC,131,1605058795,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058798.05923,0,1.00067,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058798.34573,0,1.00036,32,255,2,147,1121,2000,PIOC,121,1605058792,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058798.40681,0,1.00078,23,255,1,147,1111,2000,PIOC,111,1605058791,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058798.71832,0,1.00074,11,255,3,152,1131,2000,PIOC,131,1605058795,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605058799.05956,0,1.00033,99,255,4,142,1231,2000,BFP,231,1605058792,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
