pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609739869.49887,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739870.49969,0,1.00082,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739870.76034,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739871.22327,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739871.50024,0,1.00055,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739871.76061,0,1.00027,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739871.83436,0,1.00000,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739872.22400,0,1.00073,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739872.50100,0,1.00076,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739872.76166,0,1.00105,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739872.83451,0,1.00015,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739873.22452,0,1.00052,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739873.50187,0,1.00087,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739873.76261,0,1.00095,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739873.83483,0,1.00032,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739874.22550,0,1.00098,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739874.50238,0,1.00051,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739874.76344,0,1.00083,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739874.83514,0,1.00031,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739875.22637,0,1.00087,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739875.50285,0,1.00047,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739875.76414,0,1.00070,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739875.83549,0,1.00035,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739876.22697,0,1.00060,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739876.50337,0,1.00052,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739876.76528,0,1.00114,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739876.83573,0,1.00024,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739877.22733,0,1.00036,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739877.50471,0,1.00134,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739877.76638,0,1.00110,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,7,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739877.83657,0,1.00084,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739878.22924,0,1.00191,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739878.50464,0,0.99993,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,9,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739878.76831,0,1.00193,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,8,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739878.83749,0,1.00092,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739879.23020,0,1.00096,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,8,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739879.50493,0,1.00029,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,10,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739879.76903,0,1.00072,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,9,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739879.83958,0,1.00209,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739880.23103,0,1.00083,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,9,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739880.50537,0,1.00044,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,11,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739880.76991,0,1.00088,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,10,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739880.83987,0,1.00029,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739881.23179,0,1.00076,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,10,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739881.50607,0,1.00070,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,12,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739881.77051,0,1.00060,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,11,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739881.84013,0,1.00026,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,10,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739882.23273,0,1.00094,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,11,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739882.50754,0,1.00147,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,13,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739882.77134,0,1.00083,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,12,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739882.84038,0,1.00025,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,11,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739883.23360,0,1.00087,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,12,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739883.50760,0,1.00006,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,14,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739883.77186,0,1.00052,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,13,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739883.84084,0,1.00046,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,12,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739884.23461,0,1.00101,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,13,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739884.50829,0,1.00069,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,15,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739884.77214,0,1.00028,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,14,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739884.84116,0,1.00032,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,13,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739885.23660,0,1.00199,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,14,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739885.50859,0,1.00030,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,16,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739885.77282,0,1.00068,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,15,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739885.84228,0,1.00112,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,14,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739886.23729,0,1.00069,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,15,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739886.50918,0,1.00059,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,17,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739886.77376,0,1.00094,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,16,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739886.84305,0,1.00077,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,15,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739887.23742,0,1.00013,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,16,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739887.50953,0,1.00035,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,18,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739887.77460,0,1.00084,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,17,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739887.84334,0,1.00029,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,16,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739888.23802,0,1.00060,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,17,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739888.51083,0,1.00130,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,19,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739888.77511,0,1.00051,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,18,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739888.84454,0,1.00120,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,17,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739889.23865,0,1.00063,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,18,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739889.51149,0,1.00066,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,20,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739889.77580,0,1.00069,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,19,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739889.84510,0,1.00056,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,18,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739890.23975,0,1.00110,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,19,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739890.51210,0,1.00061,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,21,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739890.77699,0,1.00119,11,255,3,152,1131,2000,PIOC,131,1609739870,0,1,1,20,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739890.84547,0,1.00037,99,255,4,142,1231,2000,BFP,231,1609739871,0,1,1,19,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739891.24102,0,1.00127,23,255,1,147,1111,2000,PIOC,111,1609739870,0,1,1,20,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609739891.51247,0,1.00037,32,255,2,147,1121,2000,PIOC,121,1609739869,0,1,1,22,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
