pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609743202.83805,0,1.00000,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743203.36678,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743203.83897,0,1.00092,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743204.36773,0,1.00095,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743204.66562,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743204.83978,0,1.00081,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743205.36867,0,1.00094,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743205.63770,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743205.66650,0,1.00088,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743205.84079,0,1.00101,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743206.36958,0,1.00091,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743206.63908,0,1.00138,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743206.66784,0,1.00134,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743206.84177,0,1.00098,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743207.37041,0,1.00083,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743207.63996,0,1.00088,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743207.66927,0,1.00143,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743207.84257,0,1.00080,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743208.37270,0,1.00229,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743208.64087,0,1.00091,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743208.67019,0,1.00092,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743208.84342,0,1.00085,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743209.37370,0,1.00100,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743209.64181,0,1.00094,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743209.67131,0,1.00112,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743209.84488,0,1.00146,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743210.37445,0,1.00075,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743210.64275,0,1.00094,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743210.67295,0,1.00164,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743210.84578,0,1.00090,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,8,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743211.37555,0,1.00110,32,255,2,147,1121,2000,PIOC,121,1609743202,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743211.64440,0,1.00165,11,255,3,152,1131,2000,PIOC,131,1609743204,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743211.67367,0,1.00072,23,255,1,147,1111,2000,PIOC,111,1609743203,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609743211.84713,0,1.00135,99,255,4,142,1231,2000,BFP,231,1609743201,0,1,1,9,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
