pkt arrive time in UTC,,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609744778.43527,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744778.51529,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744779.43565,0,1.00038,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744779.51564,0,1.00035,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744779.55059,0,1.00000,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744779.80555,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744780.43625,0,1.00060,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744780.51611,0,1.00047,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744780.55124,0,1.00065,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744780.80588,0,1.00033,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744781.43643,0,1.00018,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744781.51655,0,1.00044,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744781.55176,0,1.00052,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744781.80620,0,1.00032,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744782.43693,0,1.00050,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744782.51703,0,1.00048,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744782.55251,0,1.00075,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744782.80680,0,1.00060,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744783.43728,0,1.00035,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744783.51732,0,1.00029,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744783.55300,0,1.00049,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744783.80732,0,1.00052,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744784.43765,0,1.00037,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744784.51871,0,1.00139,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744784.55344,0,1.00044,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744784.80773,0,1.00041,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744785.43813,0,1.00048,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744785.51906,0,1.00035,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744785.55374,0,1.00030,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744785.80858,0,1.00085,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,6,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744786.43899,0,1.00086,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,8,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
