pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331440.57050,1.00000,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331440.79597,1.00000,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331441.53225,1.00000,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331441.57080,1.00030,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331441.79656,1.00059,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331442.53239,1.00014,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331442.57226,1.00146,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331442.58494,1.00000,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331442.79692,1.00036,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331443.53302,1.00063,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331443.57305,1.00079,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331443.58480,0.99986,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331443.79756,1.00064,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331444.53286,0.99984,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331444.57338,1.00033,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331444.58504,1.00024,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331444.79809,1.00053,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331445.53307,1.00021,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331445.57401,1.00063,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331445.58521,1.00017,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331445.79883,1.00074,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,5,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331446.53352,1.00045,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331446.57449,1.00048,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331446.58657,1.00136,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,4,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331446.79921,1.00038,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,6,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331447.53342,0.99990,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,6,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331447.57491,1.00042,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331447.58627,0.99970,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,5,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331447.80034,1.00113,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,7,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331448.53547,1.00205,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,7,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
