year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,9,15,18,42,255,1604899122.255000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,369,1604899122.369000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,487,1604899122.487000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,604,1604899122.604000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,721,1604899122.721000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,837,1604899122.837000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,42,952,1604899122.952000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,62,1604899123.062000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,180,1604899123.180000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,293,1604899123.293000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,407,1604899123.407000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,522,1604899123.522000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,640,1604899123.640000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,754,1604899123.754000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,864,1604899123.864000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,43,977,1604899123.977000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,95,1604899124.095000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,215,1604899124.215000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,328,1604899124.328000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,441,1604899124.441000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,556,1604899124.556000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,668,1604899124.668000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,780,1604899124.780000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,44,899,1604899124.899000,0,0,0,0,0,1,1,1,1,
2020,11,9,15,18,45,15,1604899125.015000,0,0,0,0,0,1,1,1,1,
