year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,9,15,18,39,617,1604899119.617000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,39,729,1604899119.729000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,39,843,1604899119.843000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,39,957,1604899119.957000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,68,1604899120.068000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,187,1604899120.187000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,301,1604899120.301000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,419,1604899120.419000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,530,1604899120.530000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,643,1604899120.643000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,755,1604899120.755000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,868,1604899120.868000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,40,980,1604899120.980000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,95,1604899121.095000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,211,1604899121.211000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,327,1604899121.327000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,444,1604899121.444000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,556,1604899121.556000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,670,1604899121.670000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,789,1604899121.789000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,41,904,1604899121.904000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,18,1604899122.018000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,132,1604899122.132000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,248,1604899122.248000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,362,1604899122.362000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,473,1604899122.473000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,586,1604899122.586000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,700,1604899122.700000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,812,1604899122.812000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,42,930,1604899122.930000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,45,1604899123.045000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,163,1604899123.163000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,273,1604899123.273000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,386,1604899123.386000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,505,1604899123.505000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,620,1604899123.620000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,733,1604899123.733000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,845,1604899123.845000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,43,965,1604899123.965000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,83,1604899124.083000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,201,1604899124.201000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,321,1604899124.321000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,434,1604899124.434000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,552,1604899124.552000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,667,1604899124.667000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,781,1604899124.781000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,44,897,1604899124.897000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,16,1604899125.016000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,133,1604899125.133000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,248,1604899125.248000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,363,1604899125.363000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,480,1604899125.480000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,593,1604899125.593000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,712,1604899125.712000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,825,1604899125.825000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,45,950,1604899125.950000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,66,1604899126.066000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,189,1604899126.189000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,305,1604899126.305000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,429,1604899126.429000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,540,1604899126.540000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,656,1604899126.656000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,774,1604899126.774000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,46,898,1604899126.898000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,47,19,1604899127.019000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,47,142,1604899127.142000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,47,264,1604899127.264000,0,0,0,0,0,0,0,26,26,
2020,11,9,15,18,47,381,1604899127.381000,0,0,0,0,0,0,0,26,26,
