year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,9,15,18,36,952,1604899116.952000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,62,1604899117.062000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,165,1604899117.165000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,266,1604899117.266000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,369,1604899117.369000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,470,1604899117.470000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,572,1604899117.572000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,674,1604899117.674000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,776,1604899117.776000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,878,1604899117.878000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,37,979,1604899117.979000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,81,1604899118.081000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,186,1604899118.186000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,292,1604899118.292000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,393,1604899118.393000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,495,1604899118.495000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,597,1604899118.597000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,700,1604899118.700000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,802,1604899118.802000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,38,904,1604899118.904000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,6,1604899119.006000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,109,1604899119.109000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,210,1604899119.210000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,312,1604899119.312000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,413,1604899119.413000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,516,1604899119.516000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,617,1604899119.617000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,719,1604899119.719000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,821,1604899119.821000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,39,923,1604899119.923000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,26,1604899120.026000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,128,1604899120.128000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,230,1604899120.230000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,332,1604899120.332000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,434,1604899120.434000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,536,1604899120.536000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,639,1604899120.639000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,742,1604899120.742000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,843,1604899120.843000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,40,945,1604899120.945000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,46,1604899121.046000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,153,1604899121.153000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,256,1604899121.256000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,358,1604899121.358000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,459,1604899121.459000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,561,1604899121.561000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,663,1604899121.663000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,765,1604899121.765000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,867,1604899121.867000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,41,970,1604899121.970000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,71,1604899122.071000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,173,1604899122.173000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,275,1604899122.275000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,378,1604899122.378000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,482,1604899122.482000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,585,1604899122.585000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,691,1604899122.691000,1,0,0,1,0,17,17,30,52,0,
2020,11,9,15,18,42,793,1604899122.793000,1,0,0,1,0,17,17,30,52,0,
