year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,10,12,16,54,687,1604974614.687000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,54,804,1604974614.804000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,54,916,1604974614.916000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,29,1604974615.029000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,140,1604974615.140000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,257,1604974615.257000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,370,1604974615.370000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,483,1604974615.483000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,601,1604974615.601000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,717,1604974615.717000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,831,1604974615.831000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,55,944,1604974615.944000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,57,1604974616.057000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,172,1604974616.172000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,289,1604974616.289000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,406,1604974616.406000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,519,1604974616.519000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,630,1604974616.630000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,742,1604974616.742000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,853,1604974616.853000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,56,964,1604974616.964000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,57,77,1604974617.077000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,57,195,1604974617.195000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,57,308,1604974617.308000,0,0,0,0,0,1,1,1,1,
2020,11,10,12,16,57,425,1604974617.425000,0,0,0,0,0,1,1,1,1,
