year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,10,12,48,43,415,1604976523.415000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,43,529,1604976523.529000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,43,642,1604976523.642000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,43,753,1604976523.753000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,43,865,1604976523.865000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,43,977,1604976523.977000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,87,1604976524.087000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,199,1604976524.199000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,311,1604976524.311000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,421,1604976524.421000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,534,1604976524.534000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,650,1604976524.650000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,763,1604976524.763000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,878,1604976524.878000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,44,990,1604976524.990000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,107,1604976525.107000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,219,1604976525.219000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,334,1604976525.334000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,445,1604976525.445000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,558,1604976525.558000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,670,1604976525.670000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,782,1604976525.782000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,45,893,1604976525.893000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,10,1604976526.010000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,123,1604976526.123000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,233,1604976526.233000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,352,1604976526.352000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,466,1604976526.466000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,577,1604976526.577000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,692,1604976526.692000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,809,1604976526.809000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,46,921,1604976526.921000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,35,1604976527.035000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,149,1604976527.149000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,267,1604976527.267000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,380,1604976527.380000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,496,1604976527.496000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,611,1604976527.611000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,724,1604976527.724000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,838,1604976527.838000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,47,952,1604976527.952000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,69,1604976528.069000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,188,1604976528.188000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,299,1604976528.299000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,419,1604976528.419000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,531,1604976528.531000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,645,1604976528.645000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,761,1604976528.761000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,875,1604976528.875000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,48,990,1604976528.990000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,104,1604976529.104000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,218,1604976529.218000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,328,1604976529.328000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,443,1604976529.443000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,566,1604976529.566000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,680,1604976529.680000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,799,1604976529.799000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,49,916,1604976529.916000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,35,1604976530.035000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,150,1604976530.150000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,268,1604976530.268000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,381,1604976530.381000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,498,1604976530.498000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,616,1604976530.616000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,731,1604976530.731000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,844,1604976530.844000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,50,962,1604976530.962000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,78,1604976531.078000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,192,1604976531.192000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,306,1604976531.306000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,426,1604976531.426000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,549,1604976531.549000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,666,1604976531.666000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,788,1604976531.788000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,51,904,1604976531.904000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,16,1604976532.016000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,138,1604976532.138000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,254,1604976532.254000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,368,1604976532.368000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,486,1604976532.486000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,609,1604976532.609000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,724,1604976532.724000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,841,1604976532.841000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,52,954,1604976532.954000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,53,72,1604976533.072000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,53,185,1604976533.185000,0,0,0,0,0,0,0,26,26,
2020,11,10,12,48,53,302,1604976533.302000,0,0,0,0,0,0,0,26,26,
