year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,10,13,20,47,469,1604978447.469000,0,0,0,0,0,1,1,1,0,
2020,11,10,13,20,47,581,1604978447.581000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,47,697,1604978447.697000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,47,808,1604978447.808000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,47,921,1604978447.921000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,35,1604978448.035000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,153,1604978448.153000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,271,1604978448.271000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,384,1604978448.384000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,501,1604978448.501000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,610,1604978448.610000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,723,1604978448.723000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,838,1604978448.838000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,48,958,1604978448.958000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,75,1604978449.075000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,194,1604978449.194000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,308,1604978449.308000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,423,1604978449.423000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,535,1604978449.535000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,650,1604978449.650000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,766,1604978449.766000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,49,885,1604978449.885000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,50,1,1604978450.001000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,50,117,1604978450.117000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,50,228,1604978450.228000,0,0,0,0,0,1,1,1,1,
2020,11,10,13,20,50,348,1604978450.348000,0,0,0,0,0,1,1,1,1,
