year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,10,13,30,29,282,1604979029.282000,0,0,0,0,0,0,0,0,0,
2020,11,10,13,30,29,400,1604979029.400000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,29,510,1604979029.510000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,29,627,1604979029.627000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,29,741,1604979029.741000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,29,856,1604979029.856000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,29,968,1604979029.968000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,83,1604979030.083000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,201,1604979030.201000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,316,1604979030.316000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,427,1604979030.427000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,540,1604979030.540000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,655,1604979030.655000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,769,1604979030.769000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,30,881,1604979030.881000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,0,1604979031.000000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,116,1604979031.116000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,228,1604979031.228000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,338,1604979031.338000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,449,1604979031.449000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,559,1604979031.559000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,673,1604979031.673000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,787,1604979031.787000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,31,908,1604979031.908000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,24,1604979032.024000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,136,1604979032.136000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,249,1604979032.249000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,362,1604979032.362000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,477,1604979032.477000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,601,1604979032.601000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,719,1604979032.719000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,834,1604979032.834000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,32,950,1604979032.950000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,62,1604979033.062000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,176,1604979033.176000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,293,1604979033.293000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,408,1604979033.408000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,526,1604979033.526000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,644,1604979033.644000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,759,1604979033.759000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,875,1604979033.875000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,33,989,1604979033.989000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,101,1604979034.101000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,215,1604979034.215000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,330,1604979034.330000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,442,1604979034.442000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,559,1604979034.559000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,676,1604979034.676000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,792,1604979034.792000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,34,912,1604979034.912000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,24,1604979035.024000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,139,1604979035.139000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,262,1604979035.262000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,380,1604979035.380000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,496,1604979035.496000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,612,1604979035.612000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,724,1604979035.724000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,841,1604979035.841000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,35,964,1604979035.964000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,75,1604979036.075000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,186,1604979036.186000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,305,1604979036.305000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,420,1604979036.420000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,532,1604979036.532000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,649,1604979036.649000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,762,1604979036.762000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,875,1604979036.875000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,36,994,1604979036.994000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,112,1604979037.112000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,235,1604979037.235000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,349,1604979037.349000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,462,1604979037.462000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,581,1604979037.581000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,695,1604979037.695000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,809,1604979037.809000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,37,924,1604979037.924000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,35,1604979038.035000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,150,1604979038.150000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,267,1604979038.267000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,383,1604979038.383000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,498,1604979038.498000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,617,1604979038.617000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,729,1604979038.729000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,847,1604979038.847000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,38,967,1604979038.967000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,89,1604979039.089000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,204,1604979039.204000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,326,1604979039.326000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,450,1604979039.450000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,567,1604979039.567000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,687,1604979039.687000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,803,1604979039.803000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,39,921,1604979039.921000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,37,1604979040.037000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,149,1604979040.149000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,262,1604979040.262000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,378,1604979040.378000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,502,1604979040.502000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,620,1604979040.620000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,739,1604979040.739000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,850,1604979040.850000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,40,967,1604979040.967000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,83,1604979041.083000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,203,1604979041.203000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,325,1604979041.325000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,440,1604979041.440000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,557,1604979041.557000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,675,1604979041.675000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,790,1604979041.790000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,41,908,1604979041.908000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,23,1604979042.023000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,144,1604979042.144000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,257,1604979042.257000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,376,1604979042.376000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,492,1604979042.492000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,606,1604979042.606000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,725,1604979042.725000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,835,1604979042.835000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,42,951,1604979042.951000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,66,1604979043.066000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,182,1604979043.182000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,295,1604979043.295000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,410,1604979043.410000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,525,1604979043.525000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,645,1604979043.645000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,762,1604979043.762000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,43,884,1604979043.884000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,0,1604979044.000000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,112,1604979044.112000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,228,1604979044.228000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,349,1604979044.349000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,472,1604979044.472000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,586,1604979044.586000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,707,1604979044.707000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,822,1604979044.822000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,44,943,1604979044.943000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,59,1604979045.059000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,180,1604979045.180000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,300,1604979045.300000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,415,1604979045.415000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,534,1604979045.534000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,654,1604979045.654000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,773,1604979045.773000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,45,895,1604979045.895000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,19,1604979046.019000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,142,1604979046.142000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,257,1604979046.257000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,374,1604979046.374000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,489,1604979046.489000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,612,1604979046.612000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,732,1604979046.732000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,856,1604979046.856000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,46,975,1604979046.975000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,91,1604979047.091000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,203,1604979047.203000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,317,1604979047.317000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,435,1604979047.435000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,560,1604979047.560000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,675,1604979047.675000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,790,1604979047.790000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,47,905,1604979047.905000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,20,1604979048.020000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,139,1604979048.139000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,258,1604979048.258000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,373,1604979048.373000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,489,1604979048.489000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,608,1604979048.608000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,725,1604979048.725000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,841,1604979048.841000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,48,959,1604979048.959000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,79,1604979049.079000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,201,1604979049.201000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,319,1604979049.319000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,440,1604979049.440000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,563,1604979049.563000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,684,1604979049.684000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,803,1604979049.803000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,49,917,1604979049.917000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,32,1604979050.032000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,153,1604979050.153000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,272,1604979050.272000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,386,1604979050.386000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,504,1604979050.504000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,618,1604979050.618000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,736,1604979050.736000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,850,1604979050.850000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,50,973,1604979050.973000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,95,1604979051.095000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,209,1604979051.209000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,339,1604979051.339000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,452,1604979051.452000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,575,1604979051.575000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,697,1604979051.697000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,817,1604979051.817000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,51,930,1604979051.930000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,45,1604979052.045000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,166,1604979052.166000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,286,1604979052.286000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,408,1604979052.408000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,527,1604979052.527000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,642,1604979052.642000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,763,1604979052.763000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,880,1604979052.880000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,52,996,1604979052.996000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,117,1604979053.117000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,228,1604979053.228000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,343,1604979053.343000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,460,1604979053.460000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,577,1604979053.577000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,689,1604979053.689000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,804,1604979053.804000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,53,919,1604979053.919000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,31,1604979054.031000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,142,1604979054.142000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,257,1604979054.257000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,375,1604979054.375000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,494,1604979054.494000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,611,1604979054.611000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,731,1604979054.731000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,851,1604979054.851000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,54,970,1604979054.970000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,87,1604979055.087000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,204,1604979055.204000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,317,1604979055.317000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,433,1604979055.433000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,553,1604979055.553000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,677,1604979055.677000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,795,1604979055.795000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,55,915,1604979055.915000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,29,1604979056.029000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,150,1604979056.150000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,267,1604979056.267000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,384,1604979056.384000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,502,1604979056.502000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,621,1604979056.621000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,735,1604979056.735000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,856,1604979056.856000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,56,978,1604979056.978000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,102,1604979057.102000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,223,1604979057.223000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,339,1604979057.339000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,456,1604979057.456000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,575,1604979057.575000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,698,1604979057.698000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,811,1604979057.811000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,57,926,1604979057.926000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,58,42,1604979058.042000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,58,158,1604979058.158000,0,0,0,0,0,0,0,26,26,
2020,11,10,13,30,58,276,1604979058.276000,0,0,0,0,0,0,0,26,26,
