year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,10,13,30,26,930,1604979026.930000,0,0,0,0,0,0,0,0,0,0,
2020,11,10,13,30,27,51,1604979027.051000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,165,1604979027.165000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,275,1604979027.275000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,390,1604979027.390000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,503,1604979027.503000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,613,1604979027.613000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,724,1604979027.724000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,835,1604979027.835000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,27,951,1604979027.951000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,64,1604979028.064000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,178,1604979028.178000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,292,1604979028.292000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,405,1604979028.405000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,519,1604979028.519000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,633,1604979028.633000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,751,1604979028.751000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,863,1604979028.863000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,28,973,1604979028.973000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,91,1604979029.091000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,204,1604979029.204000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,314,1604979029.314000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,430,1604979029.430000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,549,1604979029.549000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,665,1604979029.665000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,777,1604979029.777000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,29,891,1604979029.891000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,3,1604979030.003000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,115,1604979030.115000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,226,1604979030.226000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,341,1604979030.341000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,453,1604979030.453000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,571,1604979030.571000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,690,1604979030.690000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,806,1604979030.806000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,30,921,1604979030.921000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,34,1604979031.034000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,149,1604979031.149000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,265,1604979031.265000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,381,1604979031.381000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,497,1604979031.497000,1,0,0,1,0,17,17,30,52,0,
2020,11,10,13,30,31,612,1604979031.612000,1,0,0,1,0,17,17,30,52,0,
