year,month,day,hour,minute,second,millisecond,UTC,open_CB1-66KV,open_CB2-66KV,open_CB-TRSF1,open_CB2-22KV,I_CB1-66KV,I_CB2-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_CB2-22KV
2020,11,10,13,50,6,756,1604980206.756000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,6,869,1604980206.869000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,6,982,1604980206.982000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,93,1604980207.093000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,207,1604980207.207000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,321,1604980207.321000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,434,1604980207.434000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,546,1604980207.546000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,659,1604980207.659000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,774,1604980207.774000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,884,1604980207.884000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,7,996,1604980207.996000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,110,1604980208.110000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,224,1604980208.224000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,338,1604980208.338000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,455,1604980208.455000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,574,1604980208.574000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,692,1604980208.692000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,806,1604980208.806000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,8,917,1604980208.917000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,30,1604980209.030000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,147,1604980209.147000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,263,1604980209.263000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,375,1604980209.375000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,487,1604980209.487000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,603,1604980209.603000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,718,1604980209.718000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,831,1604980209.831000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,9,941,1604980209.941000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,56,1604980210.056000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,173,1604980210.173000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,290,1604980210.290000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,401,1604980210.401000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,513,1604980210.513000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,628,1604980210.628000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,741,1604980210.741000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,857,1604980210.857000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,10,973,1604980210.973000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,89,1604980211.089000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,203,1604980211.203000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,322,1604980211.322000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,435,1604980211.435000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,554,1604980211.554000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,669,1604980211.669000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,781,1604980211.781000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,11,894,1604980211.894000,0,1,0,1,17,0,17,30,52,0,
2020,11,10,13,50,12,4,1604980212.004000,0,1,0,1,17,0,17,30,52,0,
