year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,12,6,13,790,1605060373.790000,0,0,0,0,0,1,1,1,0,
2020,11,11,12,6,13,908,1605060373.908000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,18,1605060374.018000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,131,1605060374.131000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,245,1605060374.245000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,363,1605060374.363000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,474,1605060374.474000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,589,1605060374.589000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,705,1605060374.705000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,820,1605060374.820000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,14,933,1605060374.933000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,44,1605060375.044000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,157,1605060375.157000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,270,1605060375.270000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,386,1605060375.386000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,498,1605060375.498000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,611,1605060375.611000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,727,1605060375.727000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,841,1605060375.841000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,15,953,1605060375.953000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,70,1605060376.070000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,187,1605060376.187000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,307,1605060376.307000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,419,1605060376.419000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,538,1605060376.538000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,652,1605060376.652000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,771,1605060376.771000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,16,899,1605060376.899000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,17,1605060377.017000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,134,1605060377.134000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,250,1605060377.250000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,367,1605060377.367000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,482,1605060377.482000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,598,1605060377.598000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,714,1605060377.714000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,837,1605060377.837000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,17,953,1605060377.953000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,68,1605060378.068000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,183,1605060378.183000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,295,1605060378.295000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,414,1605060378.414000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,534,1605060378.534000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,652,1605060378.652000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,764,1605060378.764000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,875,1605060378.875000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,18,989,1605060378.989000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,19,106,1605060379.106000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,19,226,1605060379.226000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,19,344,1605060379.344000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,6,19,462,1605060379.462000,0,0,0,0,0,1,1,1,1,
