year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,11,12,18,39,384,1605061119.384000,1,0,0,1,0,0,0,0,0,0,
2020,11,11,12,18,39,513,1605061119.513000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,39,625,1605061119.625000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,39,734,1605061119.734000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,39,845,1605061119.845000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,39,959,1605061119.959000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,72,1605061120.072000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,185,1605061120.185000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,297,1605061120.297000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,411,1605061120.411000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,530,1605061120.530000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,646,1605061120.646000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,758,1605061120.758000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,876,1605061120.876000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,40,993,1605061120.993000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,107,1605061121.107000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,220,1605061121.220000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,332,1605061121.332000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,443,1605061121.443000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,556,1605061121.556000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,671,1605061121.671000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,781,1605061121.781000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,41,894,1605061121.894000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,11,1605061122.011000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,131,1605061122.131000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,251,1605061122.251000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,363,1605061122.363000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,480,1605061122.480000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,593,1605061122.593000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,708,1605061122.708000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,821,1605061122.821000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,42,933,1605061122.933000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,48,1605061123.048000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,165,1605061123.165000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,279,1605061123.279000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,391,1605061123.391000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,508,1605061123.508000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,619,1605061123.619000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,738,1605061123.738000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,851,1605061123.851000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,43,965,1605061123.965000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,80,1605061124.080000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,194,1605061124.194000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,311,1605061124.311000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,423,1605061124.423000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,536,1605061124.536000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,648,1605061124.648000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,767,1605061124.767000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,885,1605061124.885000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,44,998,1605061124.998000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,111,1605061125.111000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,228,1605061125.228000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,351,1605061125.351000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,469,1605061125.469000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,583,1605061125.583000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,696,1605061125.696000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,808,1605061125.808000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,45,924,1605061125.924000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,41,1605061126.041000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,167,1605061126.167000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,277,1605061126.277000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,393,1605061126.393000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,516,1605061126.516000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,638,1605061126.638000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,758,1605061126.758000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,871,1605061126.871000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,46,990,1605061126.990000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,104,1605061127.104000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,215,1605061127.215000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,335,1605061127.335000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,454,1605061127.454000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,568,1605061127.568000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,683,1605061127.683000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,805,1605061127.805000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,47,917,1605061127.917000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,34,1605061128.034000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,153,1605061128.153000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,268,1605061128.268000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,383,1605061128.383000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,496,1605061128.496000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,607,1605061128.607000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,727,1605061128.727000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,841,1605061128.841000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,48,952,1605061128.952000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,67,1605061129.067000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,185,1605061129.185000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,301,1605061129.301000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,417,1605061129.417000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,530,1605061129.530000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,644,1605061129.644000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,762,1605061129.762000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,879,1605061129.879000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,18,49,999,1605061129.999000,1,0,0,1,0,17,17,30,52,0,
