year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,10,16,15,33,591,1604988933.591000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,33,716,1604988933.716000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,33,829,1604988933.829000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,33,943,1604988933.943000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,54,1604988934.054000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,167,1604988934.167000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,281,1604988934.281000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,394,1604988934.394000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,506,1604988934.506000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,619,1604988934.619000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,730,1604988934.730000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,844,1604988934.844000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,34,960,1604988934.960000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,79,1604988935.079000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,192,1604988935.192000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,307,1604988935.307000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,425,1604988935.425000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,538,1604988935.538000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,650,1604988935.650000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,763,1604988935.763000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,877,1604988935.877000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,35,989,1604988935.989000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,106,1604988936.106000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,218,1604988936.218000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,331,1604988936.331000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,443,1604988936.443000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,557,1604988936.557000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,669,1604988936.669000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,785,1604988936.785000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,36,903,1604988936.903000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,22,1604988937.022000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,136,1604988937.136000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,246,1604988937.246000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,361,1604988937.361000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,473,1604988937.473000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,583,1604988937.583000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,693,1604988937.693000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,804,1604988937.804000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,37,919,1604988937.919000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,33,1604988938.033000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,149,1604988938.149000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,265,1604988938.265000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,377,1604988938.377000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,499,1604988938.499000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,610,1604988938.610000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,722,1604988938.722000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,837,1604988938.837000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,38,950,1604988938.950000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,65,1604988939.065000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,179,1604988939.179000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,301,1604988939.301000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,421,1604988939.421000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,536,1604988939.536000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,658,1604988939.658000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,771,1604988939.771000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,39,888,1604988939.888000,0,0,0,0,0,0,0,26,26,
2020,11,10,16,15,40,10,1604988940.010000,0,0,0,0,0,0,0,26,26,
