year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,11,7,14,179,1605056834.179000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,299,1605056834.299000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,412,1605056834.412000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,524,1605056834.524000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,639,1605056834.639000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,750,1605056834.750000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,863,1605056834.863000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,14,975,1605056834.975000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,87,1605056835.087000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,199,1605056835.199000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,316,1605056835.316000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,435,1605056835.435000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,546,1605056835.546000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,663,1605056835.663000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,774,1605056835.774000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,15,885,1605056835.885000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,1,1605056836.001000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,116,1605056836.116000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,231,1605056836.231000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,345,1605056836.345000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,461,1605056836.461000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,575,1605056836.575000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,690,1605056836.690000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,803,1605056836.803000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,16,916,1605056836.916000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,33,1605056837.033000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,146,1605056837.146000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,263,1605056837.263000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,377,1605056837.377000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,491,1605056837.491000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,603,1605056837.603000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,719,1605056837.719000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,837,1605056837.837000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,17,954,1605056837.954000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,68,1605056838.068000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,180,1605056838.180000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,293,1605056838.293000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,411,1605056838.411000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,528,1605056838.528000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,640,1605056838.640000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,756,1605056838.756000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,872,1605056838.872000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,18,986,1605056838.986000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,99,1605056839.099000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,221,1605056839.221000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,335,1605056839.335000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,449,1605056839.449000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,565,1605056839.565000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,680,1605056839.680000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,795,1605056839.795000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,19,910,1605056839.910000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,22,1605056840.022000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,141,1605056840.141000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,260,1605056840.260000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,378,1605056840.378000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,492,1605056840.492000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,607,1605056840.607000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,724,1605056840.724000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,842,1605056840.842000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,20,958,1605056840.958000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,73,1605056841.073000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,190,1605056841.190000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,308,1605056841.308000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,423,1605056841.423000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,540,1605056841.540000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,659,1605056841.659000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,779,1605056841.779000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,21,891,1605056841.891000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,5,1605056842.005000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,125,1605056842.125000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,241,1605056842.241000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,360,1605056842.360000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,483,1605056842.483000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,601,1605056842.601000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,719,1605056842.719000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,838,1605056842.838000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,22,958,1605056842.958000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,74,1605056843.074000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,189,1605056843.189000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,304,1605056843.304000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,423,1605056843.423000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,549,1605056843.549000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,667,1605056843.667000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,786,1605056843.786000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,23,900,1605056843.900000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,17,1605056844.017000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,131,1605056844.131000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,252,1605056844.252000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,370,1605056844.370000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,492,1605056844.492000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,7,24,612,1605056844.612000,0,0,0,0,0,0,0,26,26,
