year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,11,11,7,12,564,1605056832.564000,1,0,0,1,0,0,0,0,0,0,
2020,11,11,11,7,12,681,1605056832.681000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,12,797,1605056832.797000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,12,907,1605056832.907000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,20,1605056833.020000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,130,1605056833.130000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,242,1605056833.242000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,355,1605056833.355000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,467,1605056833.467000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,576,1605056833.576000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,688,1605056833.688000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,802,1605056833.802000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,13,916,1605056833.916000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,31,1605056834.031000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,143,1605056834.143000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,254,1605056834.254000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,371,1605056834.371000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,485,1605056834.485000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,600,1605056834.600000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,7,14,710,1605056834.710000,1,0,0,1,0,17,17,30,52,0,
