year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,11,19,37,700,1605057577.700000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,37,818,1605057577.818000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,37,931,1605057577.931000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,43,1605057578.043000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,155,1605057578.155000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,270,1605057578.270000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,389,1605057578.389000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,507,1605057578.507000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,618,1605057578.618000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,731,1605057578.731000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,844,1605057578.844000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,38,959,1605057578.959000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,75,1605057579.075000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,193,1605057579.193000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,308,1605057579.308000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,419,1605057579.419000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,532,1605057579.532000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,648,1605057579.648000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,760,1605057579.760000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,873,1605057579.873000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,39,991,1605057579.991000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,106,1605057580.106000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,219,1605057580.219000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,336,1605057580.336000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,448,1605057580.448000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,568,1605057580.568000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,688,1605057580.688000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,803,1605057580.803000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,40,920,1605057580.920000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,37,1605057581.037000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,155,1605057581.155000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,278,1605057581.278000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,399,1605057581.399000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,522,1605057581.522000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,643,1605057581.643000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,758,1605057581.758000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,876,1605057581.876000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,41,997,1605057581.997000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,42,120,1605057582.120000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,19,42,234,1605057582.234000,0,0,0,0,0,1,1,1,1,
