year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,11,31,30,581,1605058290.581000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,30,702,1605058290.702000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,30,804,1605058290.804000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,30,908,1605058290.908000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,10,1605058291.010000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,112,1605058291.112000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,214,1605058291.214000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,316,1605058291.316000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,419,1605058291.419000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,521,1605058291.521000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,623,1605058291.623000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,726,1605058291.726000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,827,1605058291.827000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,31,929,1605058291.929000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,31,1605058292.031000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,134,1605058292.134000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,236,1605058292.236000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,338,1605058292.338000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,440,1605058292.440000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,543,1605058292.543000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,645,1605058292.645000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,747,1605058292.747000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,851,1605058292.851000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,32,953,1605058292.953000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,55,1605058293.055000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,157,1605058293.157000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,259,1605058293.259000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,360,1605058293.360000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,462,1605058293.462000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,565,1605058293.565000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,668,1605058293.668000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,770,1605058293.770000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,871,1605058293.871000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,33,973,1605058293.973000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,75,1605058294.075000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,177,1605058294.177000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,278,1605058294.278000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,381,1605058294.381000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,483,1605058294.483000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,586,1605058294.586000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,687,1605058294.687000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,789,1605058294.789000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,890,1605058294.890000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,34,992,1605058294.992000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,93,1605058295.093000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,196,1605058295.196000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,301,1605058295.301000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,404,1605058295.404000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,506,1605058295.506000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,608,1605058295.608000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,710,1605058295.710000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,811,1605058295.811000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,35,913,1605058295.913000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,16,1605058296.016000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,117,1605058296.117000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,219,1605058296.219000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,321,1605058296.321000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,423,1605058296.423000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,525,1605058296.525000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,627,1605058296.627000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,729,1605058296.729000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,834,1605058296.834000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,36,938,1605058296.938000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,40,1605058297.040000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,143,1605058297.143000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,246,1605058297.246000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,351,1605058297.351000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,453,1605058297.453000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,555,1605058297.555000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,657,1605058297.657000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,759,1605058297.759000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,860,1605058297.860000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,37,963,1605058297.963000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,66,1605058298.066000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,168,1605058298.168000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,270,1605058298.270000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,372,1605058298.372000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,474,1605058298.474000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,576,1605058298.576000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,678,1605058298.678000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,779,1605058298.779000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,881,1605058298.881000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,38,982,1605058298.982000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,84,1605058299.084000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,187,1605058299.187000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,290,1605058299.290000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,393,1605058299.393000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,495,1605058299.495000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,601,1605058299.601000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,703,1605058299.703000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,806,1605058299.806000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,39,910,1605058299.910000,0,0,0,0,0,0,0,26,26,
2020,11,11,11,31,40,12,1605058300.012000,0,0,0,0,0,0,0,26,26,
