year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,11,11,31,28,983,1605058288.983000,1,0,0,1,0,0,0,0,0,0,
2020,11,11,11,31,29,111,1605058289.111000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,226,1605058289.226000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,341,1605058289.341000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,453,1605058289.453000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,574,1605058289.574000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,688,1605058289.688000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,801,1605058289.801000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,29,917,1605058289.917000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,29,1605058290.029000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,141,1605058290.141000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,252,1605058290.252000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,363,1605058290.363000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,475,1605058290.475000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,588,1605058290.588000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,712,1605058290.712000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,825,1605058290.825000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,30,940,1605058290.940000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,56,1605058291.056000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,167,1605058291.167000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,280,1605058291.280000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,397,1605058291.397000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,513,1605058291.513000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,626,1605058291.626000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,737,1605058291.737000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,851,1605058291.851000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,31,963,1605058291.963000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,81,1605058292.081000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,194,1605058292.194000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,313,1605058292.313000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,425,1605058292.425000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,536,1605058292.536000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,653,1605058292.653000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,763,1605058292.763000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,878,1605058292.878000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,32,990,1605058292.990000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,102,1605058293.102000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,219,1605058293.219000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,344,1605058293.344000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,455,1605058293.455000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,570,1605058293.570000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,683,1605058293.683000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,800,1605058293.800000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,33,924,1605058293.924000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,40,1605058294.040000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,155,1605058294.155000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,268,1605058294.268000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,382,1605058294.382000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,496,1605058294.496000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,613,1605058294.613000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,730,1605058294.730000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,851,1605058294.851000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,34,965,1605058294.965000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,79,1605058295.079000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,196,1605058295.196000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,319,1605058295.319000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,432,1605058295.432000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,544,1605058295.544000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,656,1605058295.656000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,773,1605058295.773000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,35,886,1605058295.886000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,3,1605058296.003000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,124,1605058296.124000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,242,1605058296.242000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,361,1605058296.361000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,480,1605058296.480000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,599,1605058296.599000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,728,1605058296.728000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,851,1605058296.851000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,11,31,36,967,1605058296.967000,1,0,0,1,0,17,17,30,52,0,
