year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,11,39,50,430,1605058790.430000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,50,550,1605058790.550000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,50,665,1605058790.665000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,50,782,1605058790.782000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,50,893,1605058790.893000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,5,1605058791.005000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,122,1605058791.122000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,235,1605058791.235000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,347,1605058791.347000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,461,1605058791.461000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,575,1605058791.575000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,688,1605058791.688000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,800,1605058791.800000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,51,917,1605058791.917000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,33,1605058792.033000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,148,1605058792.148000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,263,1605058792.263000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,377,1605058792.377000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,492,1605058792.492000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,607,1605058792.607000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,720,1605058792.720000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,833,1605058792.833000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,52,945,1605058792.945000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,59,1605058793.059000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,176,1605058793.176000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,296,1605058793.296000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,418,1605058793.418000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,533,1605058793.533000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,646,1605058793.646000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,765,1605058793.765000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,881,1605058793.881000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,53,998,1605058793.998000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,115,1605058794.115000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,229,1605058794.229000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,346,1605058794.346000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,464,1605058794.464000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,581,1605058794.581000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,694,1605058794.694000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,808,1605058794.808000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,54,926,1605058794.926000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,42,1605058795.042000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,156,1605058795.156000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,274,1605058795.274000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,386,1605058795.386000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,503,1605058795.503000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,615,1605058795.615000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,736,1605058795.736000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,852,1605058795.852000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,55,964,1605058795.964000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,82,1605058796.082000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,201,1605058796.201000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,317,1605058796.317000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,434,1605058796.434000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,552,1605058796.552000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,665,1605058796.665000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,777,1605058796.777000,0,0,0,0,0,1,1,1,1,
2020,11,11,11,39,56,899,1605058796.899000,0,0,0,0,0,1,1,1,1,
