year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2021,1,4,16,28,31,22,1609741711.022000,0,0,0,0,0,0,0,0,0,
2021,1,4,16,28,31,146,1609741711.146000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,257,1609741711.257000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,369,1609741711.369000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,480,1609741711.480000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,594,1609741711.594000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,705,1609741711.705000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,815,1609741711.815000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,31,932,1609741711.932000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,47,1609741712.047000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,158,1609741712.158000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,269,1609741712.269000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,379,1609741712.379000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,492,1609741712.492000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,603,1609741712.603000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,714,1609741712.714000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,827,1609741712.827000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,32,943,1609741712.943000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,56,1609741713.056000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,169,1609741713.169000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,281,1609741713.281000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,392,1609741713.392000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,512,1609741713.512000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,624,1609741713.624000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,737,1609741713.737000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,852,1609741713.852000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,33,963,1609741713.963000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,80,1609741714.080000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,189,1609741714.189000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,303,1609741714.303000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,415,1609741714.415000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,527,1609741714.527000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,644,1609741714.644000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,755,1609741714.755000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,873,1609741714.873000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,34,984,1609741714.984000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,99,1609741715.099000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,211,1609741715.211000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,323,1609741715.323000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,440,1609741715.440000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,553,1609741715.553000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,667,1609741715.667000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,780,1609741715.780000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,35,895,1609741715.895000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,10,1609741716.010000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,120,1609741716.120000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,236,1609741716.236000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,356,1609741716.356000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,472,1609741716.472000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,585,1609741716.585000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,695,1609741716.695000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,807,1609741716.807000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,36,920,1609741716.920000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,32,1609741717.032000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,144,1609741717.144000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,259,1609741717.259000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,373,1609741717.373000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,487,1609741717.487000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,600,1609741717.600000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,713,1609741717.713000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,835,1609741717.835000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,37,948,1609741717.948000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,63,1609741718.063000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,175,1609741718.175000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,288,1609741718.288000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,406,1609741718.406000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,516,1609741718.516000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,629,1609741718.629000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,745,1609741718.745000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,861,1609741718.861000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,38,974,1609741718.974000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,90,1609741719.090000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,204,1609741719.204000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,318,1609741719.318000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,436,1609741719.436000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,551,1609741719.551000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,674,1609741719.674000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,787,1609741719.787000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,39,906,1609741719.906000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,18,1609741720.018000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,131,1609741720.131000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,243,1609741720.243000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,354,1609741720.354000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,466,1609741720.466000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,581,1609741720.581000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,696,1609741720.696000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,808,1609741720.808000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,40,919,1609741720.919000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,39,1609741721.039000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,161,1609741721.161000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,280,1609741721.280000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,393,1609741721.393000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,509,1609741721.509000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,627,1609741721.627000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,746,1609741721.746000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,867,1609741721.867000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,41,988,1609741721.988000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,100,1609741722.100000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,212,1609741722.212000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,324,1609741722.324000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,446,1609741722.446000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,563,1609741722.563000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,685,1609741722.685000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,800,1609741722.800000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,42,917,1609741722.917000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,33,1609741723.033000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,146,1609741723.146000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,265,1609741723.265000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,382,1609741723.382000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,495,1609741723.495000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,612,1609741723.612000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,730,1609741723.730000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,844,1609741723.844000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,43,965,1609741723.965000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,86,1609741724.086000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,198,1609741724.198000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,311,1609741724.311000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,427,1609741724.427000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,540,1609741724.540000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,665,1609741724.665000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,784,1609741724.784000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,44,907,1609741724.907000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,23,1609741725.023000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,142,1609741725.142000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,260,1609741725.260000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,375,1609741725.375000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,490,1609741725.490000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,617,1609741725.617000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,733,1609741725.733000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,848,1609741725.848000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,45,961,1609741725.961000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,75,1609741726.075000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,194,1609741726.194000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,310,1609741726.310000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,422,1609741726.422000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,540,1609741726.540000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,658,1609741726.658000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,771,1609741726.771000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,46,888,1609741726.888000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,2,1609741727.002000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,113,1609741727.113000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,227,1609741727.227000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,340,1609741727.340000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,454,1609741727.454000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,566,1609741727.566000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,680,1609741727.680000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,794,1609741727.794000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,47,911,1609741727.911000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,24,1609741728.024000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,138,1609741728.138000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,250,1609741728.250000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,365,1609741728.365000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,477,1609741728.477000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,596,1609741728.596000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,708,1609741728.708000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,822,1609741728.822000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,48,939,1609741728.939000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,52,1609741729.052000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,165,1609741729.165000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,282,1609741729.282000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,395,1609741729.395000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,511,1609741729.511000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,630,1609741729.630000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,746,1609741729.746000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,859,1609741729.859000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,49,979,1609741729.979000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,95,1609741730.095000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,211,1609741730.211000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,324,1609741730.324000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,446,1609741730.446000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,557,1609741730.557000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,672,1609741730.672000,0,0,0,0,0,1,1,1,1,
2021,1,4,16,28,50,787,1609741730.787000,0,0,0,0,0,1,1,1,1,
