year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2021,1,4,16,28,30,955,1609741710.955000,0,0,0,0,0,0,0,0,0,
2021,1,4,16,28,31,66,1609741711.066000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,178,1609741711.178000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,290,1609741711.290000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,404,1609741711.404000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,516,1609741711.516000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,625,1609741711.625000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,736,1609741711.736000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,847,1609741711.847000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,31,957,1609741711.957000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,71,1609741712.071000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,183,1609741712.183000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,295,1609741712.295000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,414,1609741712.414000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,528,1609741712.528000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,640,1609741712.640000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,750,1609741712.750000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,861,1609741712.861000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,32,973,1609741712.973000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,86,1609741713.086000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,198,1609741713.198000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,314,1609741713.314000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,425,1609741713.425000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,538,1609741713.538000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,650,1609741713.650000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,765,1609741713.765000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,875,1609741713.875000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,33,988,1609741713.988000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,102,1609741714.102000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,215,1609741714.215000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,331,1609741714.331000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,441,1609741714.441000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,558,1609741714.558000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,669,1609741714.669000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,780,1609741714.780000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,34,890,1609741714.890000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,3,1609741715.003000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,122,1609741715.122000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,234,1609741715.234000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,350,1609741715.350000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,462,1609741715.462000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,576,1609741715.576000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,690,1609741715.690000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,808,1609741715.808000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,35,926,1609741715.926000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,46,1609741716.046000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,156,1609741716.156000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,267,1609741716.267000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,380,1609741716.380000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,493,1609741716.493000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,605,1609741716.605000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,724,1609741716.724000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,843,1609741716.843000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,36,959,1609741716.959000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,74,1609741717.074000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,184,1609741717.184000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,300,1609741717.300000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,419,1609741717.419000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,541,1609741717.541000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,653,1609741717.653000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,766,1609741717.766000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,878,1609741717.878000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,37,992,1609741717.992000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,107,1609741718.107000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,224,1609741718.224000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,341,1609741718.341000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,455,1609741718.455000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,574,1609741718.574000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,686,1609741718.686000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,797,1609741718.797000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,38,912,1609741718.912000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,32,1609741719.032000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,150,1609741719.150000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,262,1609741719.262000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,378,1609741719.378000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,494,1609741719.494000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,611,1609741719.611000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,726,1609741719.726000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,843,1609741719.843000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,39,960,1609741719.960000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,71,1609741720.071000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,188,1609741720.188000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,300,1609741720.300000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,416,1609741720.416000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,535,1609741720.535000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,649,1609741720.649000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,765,1609741720.765000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,886,1609741720.886000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,40,997,1609741720.997000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,116,1609741721.116000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,231,1609741721.231000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,348,1609741721.348000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,466,1609741721.466000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,580,1609741721.580000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,697,1609741721.697000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,815,1609741721.815000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,41,933,1609741721.933000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,48,1609741722.048000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,169,1609741722.169000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,284,1609741722.284000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,403,1609741722.403000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,515,1609741722.515000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,630,1609741722.630000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,747,1609741722.747000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,863,1609741722.863000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,42,976,1609741722.976000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,92,1609741723.092000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,208,1609741723.208000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,332,1609741723.332000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,447,1609741723.447000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,566,1609741723.566000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,679,1609741723.679000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,792,1609741723.792000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,43,903,1609741723.903000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,19,1609741724.019000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,140,1609741724.140000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,265,1609741724.265000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,377,1609741724.377000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,492,1609741724.492000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,610,1609741724.610000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,723,1609741724.723000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,841,1609741724.841000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,44,954,1609741724.954000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,66,1609741725.066000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,189,1609741725.189000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,305,1609741725.305000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,425,1609741725.425000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,543,1609741725.543000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,659,1609741725.659000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,775,1609741725.775000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,45,888,1609741725.888000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,2,1609741726.002000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,116,1609741726.116000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,237,1609741726.237000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,353,1609741726.353000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,473,1609741726.473000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,587,1609741726.587000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,706,1609741726.706000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,821,1609741726.821000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,46,942,1609741726.942000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,61,1609741727.061000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,184,1609741727.184000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,299,1609741727.299000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,416,1609741727.416000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,528,1609741727.528000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,643,1609741727.643000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,763,1609741727.763000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,880,1609741727.880000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,47,995,1609741727.995000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,115,1609741728.115000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,227,1609741728.227000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,350,1609741728.350000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,466,1609741728.466000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,582,1609741728.582000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,695,1609741728.695000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,811,1609741728.811000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,48,929,1609741728.929000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,49,1609741729.049000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,165,1609741729.165000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,279,1609741729.279000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,397,1609741729.397000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,510,1609741729.510000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,621,1609741729.621000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,742,1609741729.742000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,857,1609741729.857000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,49,974,1609741729.974000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,94,1609741730.094000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,210,1609741730.210000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,325,1609741730.325000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,448,1609741730.448000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,566,1609741730.566000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,681,1609741730.681000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,792,1609741730.792000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,50,914,1609741730.914000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,25,1609741731.025000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,139,1609741731.139000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,256,1609741731.256000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,376,1609741731.376000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,492,1609741731.492000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,611,1609741731.611000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,726,1609741731.726000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,847,1609741731.847000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,51,961,1609741731.961000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,83,1609741732.083000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,199,1609741732.199000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,317,1609741732.317000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,436,1609741732.436000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,559,1609741732.559000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,680,1609741732.680000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,792,1609741732.792000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,52,907,1609741732.907000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,29,1609741733.029000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,150,1609741733.150000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,267,1609741733.267000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,379,1609741733.379000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,491,1609741733.491000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,607,1609741733.607000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,726,1609741733.726000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,838,1609741733.838000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,53,955,1609741733.955000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,72,1609741734.072000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,191,1609741734.191000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,309,1609741734.309000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,424,1609741734.424000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,541,1609741734.541000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,660,1609741734.660000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,777,1609741734.777000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,54,893,1609741734.893000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,28,55,10,1609741735.010000,0,0,0,0,0,0,0,26,26,
