year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2021,1,4,16,28,29,45,1609741709.045000,0,0,0,0,0,17,17,30,52,0,
2021,1,4,16,28,29,165,1609741709.165000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,275,1609741709.275000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,389,1609741709.389000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,502,1609741709.502000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,615,1609741709.615000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,725,1609741709.725000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,840,1609741709.840000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,29,952,1609741709.952000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,65,1609741710.065000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,175,1609741710.175000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,289,1609741710.289000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,402,1609741710.402000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,517,1609741710.517000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,635,1609741710.635000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,747,1609741710.747000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,861,1609741710.861000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,30,973,1609741710.973000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,31,84,1609741711.084000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,28,31,198,1609741711.198000,1,0,0,1,0,17,17,30,52,0,
