year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2021,1,4,16,53,19,321,1609743199.321000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,19,447,1609743199.447000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,19,558,1609743199.558000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,19,670,1609743199.670000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,19,783,1609743199.783000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,19,896,1609743199.896000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,6,1609743200.006000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,116,1609743200.116000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,227,1609743200.227000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,338,1609743200.338000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,447,1609743200.447000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,558,1609743200.558000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,670,1609743200.670000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,784,1609743200.784000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,20,901,1609743200.901000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,14,1609743201.014000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,129,1609743201.129000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,241,1609743201.241000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,354,1609743201.354000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,466,1609743201.466000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,577,1609743201.577000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,690,1609743201.690000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,800,1609743201.800000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,21,912,1609743201.912000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,24,1609743202.024000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,136,1609743202.136000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,246,1609743202.246000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,361,1609743202.361000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,474,1609743202.474000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,586,1609743202.586000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,703,1609743202.703000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,817,1609743202.817000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,22,933,1609743202.933000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,47,1609743203.047000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,163,1609743203.163000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,281,1609743203.281000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,393,1609743203.393000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,507,1609743203.507000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,621,1609743203.621000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,734,1609743203.734000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,844,1609743203.844000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,23,955,1609743203.955000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,70,1609743204.070000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,186,1609743204.186000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,296,1609743204.296000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,406,1609743204.406000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,517,1609743204.517000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,628,1609743204.628000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,740,1609743204.740000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,860,1609743204.860000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,24,973,1609743204.973000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,88,1609743205.088000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,202,1609743205.202000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,318,1609743205.318000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,434,1609743205.434000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,549,1609743205.549000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,660,1609743205.660000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,773,1609743205.773000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,25,887,1609743205.887000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,2,1609743206.002000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,117,1609743206.117000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,233,1609743206.233000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,344,1609743206.344000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,461,1609743206.461000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,578,1609743206.578000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,696,1609743206.696000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,818,1609743206.818000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,26,929,1609743206.929000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,42,1609743207.042000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,155,1609743207.155000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,269,1609743207.269000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,383,1609743207.383000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,496,1609743207.496000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,615,1609743207.615000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,728,1609743207.728000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,842,1609743207.842000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,27,954,1609743207.954000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,78,1609743208.078000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,193,1609743208.193000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,307,1609743208.307000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,419,1609743208.419000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,534,1609743208.534000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,651,1609743208.651000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,765,1609743208.765000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,878,1609743208.878000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,28,993,1609743208.993000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,108,1609743209.108000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,222,1609743209.222000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,332,1609743209.332000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,451,1609743209.451000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,566,1609743209.566000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,683,1609743209.683000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,796,1609743209.796000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,29,918,1609743209.918000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,37,1609743210.037000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,149,1609743210.149000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,265,1609743210.265000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,379,1609743210.379000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,499,1609743210.499000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,616,1609743210.616000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,729,1609743210.729000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,842,1609743210.842000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,30,956,1609743210.956000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,72,1609743211.072000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,187,1609743211.187000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,304,1609743211.304000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,421,1609743211.421000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,537,1609743211.537000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,660,1609743211.660000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,782,1609743211.782000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,31,899,1609743211.899000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,22,1609743212.022000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,139,1609743212.139000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,251,1609743212.251000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,373,1609743212.373000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,490,1609743212.490000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,606,1609743212.606000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,720,1609743212.720000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,841,1609743212.841000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,32,953,1609743212.953000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,66,1609743213.066000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,179,1609743213.179000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,299,1609743213.299000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,420,1609743213.420000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,538,1609743213.538000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,656,1609743213.656000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,775,1609743213.775000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,33,889,1609743213.889000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,7,1609743214.007000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,125,1609743214.125000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,241,1609743214.241000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,359,1609743214.359000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,471,1609743214.471000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,585,1609743214.585000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,705,1609743214.705000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,822,1609743214.822000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,34,941,1609743214.941000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,56,1609743215.056000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,171,1609743215.171000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,285,1609743215.285000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,404,1609743215.404000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,520,1609743215.520000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,636,1609743215.636000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,750,1609743215.750000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,863,1609743215.863000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,35,975,1609743215.975000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,89,1609743216.089000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,208,1609743216.208000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,327,1609743216.327000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,441,1609743216.441000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,556,1609743216.556000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,673,1609743216.673000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,789,1609743216.789000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,36,909,1609743216.909000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,25,1609743217.025000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,145,1609743217.145000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,259,1609743217.259000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,372,1609743217.372000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,488,1609743217.488000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,610,1609743217.610000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,727,1609743217.727000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,840,1609743217.840000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,37,956,1609743217.956000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,76,1609743218.076000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,193,1609743218.193000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,313,1609743218.313000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,429,1609743218.429000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,551,1609743218.551000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,665,1609743218.665000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,778,1609743218.778000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,38,902,1609743218.902000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,20,1609743219.020000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,136,1609743219.136000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,249,1609743219.249000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,364,1609743219.364000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,477,1609743219.477000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,593,1609743219.593000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,712,1609743219.712000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,836,1609743219.836000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,39,954,1609743219.954000,0,0,0,0,0,0,0,26,26,
2021,1,4,16,53,40,69,1609743220.069000,0,0,0,0,0,0,0,26,26,
