year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2021,1,4,16,53,17,201,1609743197.201000,0,0,0,0,0,17,17,30,52,0,
2021,1,4,16,53,17,327,1609743197.327000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,17,444,1609743197.444000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,17,556,1609743197.556000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,17,669,1609743197.669000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,17,788,1609743197.788000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,17,900,1609743197.900000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,11,1609743198.011000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,123,1609743198.123000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,240,1609743198.240000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,356,1609743198.356000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,469,1609743198.469000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,583,1609743198.583000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,696,1609743198.696000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,807,1609743198.807000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,18,918,1609743198.918000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,31,1609743199.031000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,143,1609743199.143000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,257,1609743199.257000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,368,1609743199.368000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,482,1609743199.482000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,594,1609743199.594000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,708,1609743199.708000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,821,1609743199.821000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,19,934,1609743199.934000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,44,1609743200.044000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,156,1609743200.156000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,270,1609743200.270000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,383,1609743200.383000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,497,1609743200.497000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,610,1609743200.610000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,720,1609743200.720000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,835,1609743200.835000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,20,948,1609743200.948000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,62,1609743201.062000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,175,1609743201.175000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,286,1609743201.286000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,400,1609743201.400000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,511,1609743201.511000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,621,1609743201.621000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,731,1609743201.731000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,845,1609743201.845000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,21,957,1609743201.957000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,22,73,1609743202.073000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,22,185,1609743202.185000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,22,297,1609743202.297000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,22,411,1609743202.411000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,16,53,22,521,1609743202.521000,1,0,0,1,0,17,17,30,52,0,
