year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2021,1,4,17,19,33,726,1609744773.726000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,33,847,1609744773.847000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,33,958,1609744773.958000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,74,1609744774.074000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,190,1609744774.190000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,303,1609744774.303000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,417,1609744774.417000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,528,1609744774.528000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,637,1609744774.637000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,747,1609744774.747000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,858,1609744774.858000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,34,974,1609744774.974000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,89,1609744775.089000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,201,1609744775.201000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,317,1609744775.317000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,427,1609744775.427000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,541,1609744775.541000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,652,1609744775.652000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,767,1609744775.767000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,879,1609744775.879000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,35,995,1609744775.995000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,110,1609744776.110000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,223,1609744776.223000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,333,1609744776.333000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,445,1609744776.445000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,559,1609744776.559000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,674,1609744776.674000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,789,1609744776.789000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,36,899,1609744776.899000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,18,1609744777.018000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,131,1609744777.131000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,242,1609744777.242000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,352,1609744777.352000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,465,1609744777.465000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,578,1609744777.578000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,693,1609744777.693000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,805,1609744777.805000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,37,920,1609744777.920000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,30,1609744778.030000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,142,1609744778.142000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,254,1609744778.254000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,366,1609744778.366000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,478,1609744778.478000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,596,1609744778.596000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,709,1609744778.709000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,822,1609744778.822000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,38,937,1609744778.937000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,39,52,1609744779.052000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,39,168,1609744779.168000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,39,282,1609744779.282000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,39,397,1609744779.397000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,19,39,509,1609744779.509000,0,0,0,0,0,0,0,26,26,
