year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2021,4,25,14,28,27,564,1619324907.564000,0,0,0,0,0,0,0,0,0,
2021,4,25,14,28,27,700,1619324907.700000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,27,821,1619324907.821000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,27,934,1619324907.934000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,50,1619324908.050000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,165,1619324908.165000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,281,1619324908.281000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,395,1619324908.395000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,508,1619324908.508000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,628,1619324908.628000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,744,1619324908.744000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,860,1619324908.860000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,28,976,1619324908.976000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,95,1619324909.095000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,211,1619324909.211000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,325,1619324909.325000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,440,1619324909.440000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,557,1619324909.557000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,676,1619324909.676000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,791,1619324909.791000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,29,906,1619324909.906000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,21,1619324910.021000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,140,1619324910.140000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,256,1619324910.256000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,374,1619324910.374000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,490,1619324910.490000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,603,1619324910.603000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,718,1619324910.718000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,832,1619324910.832000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,30,956,1619324910.956000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,72,1619324911.072000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,196,1619324911.196000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,313,1619324911.313000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,429,1619324911.429000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,543,1619324911.543000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,665,1619324911.665000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,786,1619324911.786000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,31,905,1619324911.905000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,22,1619324912.022000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,137,1619324912.137000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,252,1619324912.252000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,374,1619324912.374000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,501,1619324912.501000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,619,1619324912.619000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,739,1619324912.739000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,856,1619324912.856000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,32,972,1619324912.972000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,90,1619324913.090000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,210,1619324913.210000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,329,1619324913.329000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,445,1619324913.445000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,566,1619324913.566000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,690,1619324913.690000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,812,1619324913.812000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,33,929,1619324913.929000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,53,1619324914.053000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,170,1619324914.170000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,296,1619324914.296000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,411,1619324914.411000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,530,1619324914.530000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,648,1619324914.648000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,772,1619324914.772000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,34,896,1619324914.896000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,22,1619324915.022000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,143,1619324915.143000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,266,1619324915.266000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,385,1619324915.385000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,507,1619324915.507000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,629,1619324915.629000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,753,1619324915.753000,0,0,0,0,0,1,1,1,1,
2021,4,25,14,28,35,871,1619324915.871000,0,0,0,0,0,1,1,1,1,
