year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,15,23,7,329,1619328187.329000,0,0,0,0,0,0,0,0,0,0,26,
2021,4,25,15,23,7,464,1619328187.464000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,7,578,1619328187.578000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,7,695,1619328187.695000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,7,814,1619328187.814000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,7,932,1619328187.932000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,55,1619328188.055000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,173,1619328188.173000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,287,1619328188.287000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,404,1619328188.404000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,526,1619328188.526000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,643,1619328188.643000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,768,1619328188.768000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,882,1619328188.882000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,8,999,1619328188.999000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,115,1619328189.115000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,235,1619328189.235000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,355,1619328189.355000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,474,1619328189.474000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,592,1619328189.592000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,707,1619328189.707000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,824,1619328189.824000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,9,942,1619328189.942000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,68,1619328190.068000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,185,1619328190.185000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,299,1619328190.299000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,412,1619328190.412000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,531,1619328190.531000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,646,1619328190.646000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,767,1619328190.767000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,10,887,1619328190.887000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,1,1619328191.001000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,116,1619328191.116000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,237,1619328191.237000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,356,1619328191.356000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,473,1619328191.473000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,591,1619328191.591000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,707,1619328191.707000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,820,1619328191.820000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,11,935,1619328191.935000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,54,1619328192.054000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,173,1619328192.173000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,292,1619328192.292000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,406,1619328192.406000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,529,1619328192.529000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,646,1619328192.646000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,15,23,12,770,1619328192.770000,0,0,0,0,0,0,0,26,26,26,26,
