year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2021,4,25,15,23,3,489,1619328183.489000,1,0,0,1,0,0,0,0,0,0,
2021,4,25,15,23,3,620,1619328183.620000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,3,742,1619328183.742000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,3,865,1619328183.865000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,3,990,1619328183.990000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,105,1619328184.105000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,219,1619328184.219000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,338,1619328184.338000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,464,1619328184.464000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,580,1619328184.580000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,696,1619328184.696000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,813,1619328184.813000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,4,932,1619328184.932000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,56,1619328185.056000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,172,1619328185.172000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,290,1619328185.290000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,409,1619328185.409000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,531,1619328185.531000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,655,1619328185.655000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,771,1619328185.771000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,5,888,1619328185.888000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,4,1619328186.004000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,124,1619328186.124000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,249,1619328186.249000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,365,1619328186.365000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,482,1619328186.482000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,597,1619328186.597000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,714,1619328186.714000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,830,1619328186.830000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,6,946,1619328186.946000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,65,1619328187.065000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,184,1619328187.184000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,301,1619328187.301000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,422,1619328187.422000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,540,1619328187.540000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,663,1619328187.663000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,784,1619328187.784000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,7,901,1619328187.901000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,15,1619328188.015000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,131,1619328188.131000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,251,1619328188.251000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,366,1619328188.366000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,487,1619328188.487000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,600,1619328188.600000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,719,1619328188.719000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,834,1619328188.834000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,8,951,1619328188.951000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,72,1619328189.072000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,194,1619328189.194000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,309,1619328189.309000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,428,1619328189.428000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,550,1619328189.550000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,669,1619328189.669000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,787,1619328189.787000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,9,906,1619328189.906000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,22,1619328190.022000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,136,1619328190.136000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,252,1619328190.252000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,373,1619328190.373000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,492,1619328190.492000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,611,1619328190.611000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,726,1619328190.726000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,854,1619328190.854000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,10,974,1619328190.974000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,91,1619328191.091000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,207,1619328191.207000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,327,1619328191.327000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,449,1619328191.449000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,566,1619328191.566000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,694,1619328191.694000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,811,1619328191.811000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,11,932,1619328191.932000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,55,1619328192.055000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,174,1619328192.174000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,293,1619328192.293000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,407,1619328192.407000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,529,1619328192.529000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,644,1619328192.644000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,770,1619328192.770000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,12,894,1619328192.894000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,13,1619328193.013000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,129,1619328193.129000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,248,1619328193.248000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,374,1619328193.374000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,497,1619328193.497000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,617,1619328193.617000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,748,1619328193.748000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,865,1619328193.865000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,13,986,1619328193.986000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,116,1619328194.116000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,235,1619328194.235000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,362,1619328194.362000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,481,1619328194.481000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,606,1619328194.606000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,729,1619328194.729000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,850,1619328194.850000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,14,981,1619328194.981000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,101,1619328195.101000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,227,1619328195.227000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,349,1619328195.349000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,471,1619328195.471000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,600,1619328195.600000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,725,1619328195.725000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,850,1619328195.850000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,15,976,1619328195.976000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,97,1619328196.097000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,219,1619328196.219000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,340,1619328196.340000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,460,1619328196.460000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,583,1619328196.583000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,707,1619328196.707000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,826,1619328196.826000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,16,950,1619328196.950000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,69,1619328197.069000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,188,1619328197.188000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,320,1619328197.320000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,443,1619328197.443000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,564,1619328197.564000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,696,1619328197.696000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,817,1619328197.817000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,17,944,1619328197.944000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,71,1619328198.071000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,197,1619328198.197000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,319,1619328198.319000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,443,1619328198.443000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,562,1619328198.562000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,684,1619328198.684000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,803,1619328198.803000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,18,932,1619328198.932000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,59,1619328199.059000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,181,1619328199.181000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,311,1619328199.311000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,436,1619328199.436000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,564,1619328199.564000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,683,1619328199.683000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,804,1619328199.804000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,19,929,1619328199.929000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,59,1619328200.059000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,179,1619328200.179000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,304,1619328200.304000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,428,1619328200.428000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,547,1619328200.547000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,667,1619328200.667000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,793,1619328200.793000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,20,920,1619328200.920000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,21,46,1619328201.046000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,21,170,1619328201.170000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,21,299,1619328201.299000,1,0,0,1,0,17,17,30,52,0,
2021,4,25,15,23,21,423,1619328201.423000,1,0,0,1,0,17,17,30,52,0,
